2026-03-25 05:55:53 | SimilarityScript | INFO | [Gate1] 'crack a smile' → 1 candidate(s): ['crack a smile...and more!']
2026-03-25 05:55:53 | SimilarityScript | INFO | [Gate3 FAIL] 'crack a smile' <-> 'crack a smile...and more!' cosine=0.686 (threshold 0.88)
2026-03-25 05:55:53 | SimilarityScript | INFO | [Gate1] 'crack a smile...and more!' → 1 candidate(s): ['crack a smile']
2026-03-25 05:55:53 | SimilarityScript | INFO | [Gate1] 'live in japan' → 2 candidate(s): ['live in japan vol. 1', 'live in japan vol. 2']
2026-03-25 05:55:53 | SimilarityScript | INFO | [Gate3 FAIL] 'live in japan' <-> 'live in japan vol. 1' cosine=0.735 (threshold 0.88)
2026-03-25 05:55:53 | SimilarityScript | INFO | [Gate3 FAIL] 'live in japan' <-> 'live in japan vol. 2' cosine=0.509 (threshold 0.88)
2026-03-25 05:55:53 | SimilarityScript | INFO | [Gate1] 'live in japan vol. 1' → 1 candidate(s): ['live in japan']
2026-03-25 05:55:53 | SimilarityScript | INFO | [Gate1] 'live in japan vol. 2' → 1 candidate(s): ['live in japan']
2026-03-25 05:55:54 | SimilarityScript | INFO | [Gate1] 'academy award' → 3 candidate(s): ['academy award for best animated short film', 'academy award for best supporting actress', 'special achievement academy award']
2026-03-25 05:55:54 | SimilarityScript | INFO | [Gate3 FAIL] 'academy award' <-> 'academy award for best animated short film' cosine=0.514 (threshold 0.88)
2026-03-25 05:55:54 | SimilarityScript | INFO | [Gate3 FAIL] 'academy award' <-> 'academy award for best supporting actress' cosine=0.422 (threshold 0.88)
2026-03-25 05:55:54 | SimilarityScript | INFO | [Gate3 FAIL] 'academy award' <-> 'special achievement academy award' cosine=0.427 (threshold 0.88)
2026-03-25 05:55:54 | SimilarityScript | INFO | [Gate1] 'academy award for best animated short film' → 1 candidate(s): ['academy award']
2026-03-25 05:55:54 | SimilarityScript | INFO | [Gate1] 'academy award for best supporting actress' → 1 candidate(s): ['academy award']
2026-03-25 05:55:55 | SimilarityScript | INFO | [Gate1] 'best editing' → 1 candidate(s): ['independent spirit award for best editing']
2026-03-25 05:55:55 | SimilarityScript | INFO | [Gate3 FAIL] 'best editing' <-> 'independent spirit award for best editing' cosine=0.627 (threshold 0.88)
2026-03-25 05:55:55 | SimilarityScript | INFO | [Gate1] 'bonsang award' → 1 candidate(s): ['disk bonsang award']
2026-03-25 05:55:55 | SimilarityScript | INFO | [Gate3 FAIL] 'bonsang award' <-> 'disk bonsang award' cosine=0.554 (threshold 0.88)
2026-03-25 05:55:55 | SimilarityScript | INFO | [Gate1] 'disk bonsang award' → 1 candidate(s): ['bonsang award']
2026-03-25 05:55:55 | SimilarityScript | INFO | [Gate1] 'iffhs world's best club coach' → 1 candidate(s): ["the iffhs world's best club coach"]
2026-03-25 05:55:55 | SimilarityScript | INFO | [Gate3 PASS] 'iffhs world's best club coach' <-> 'the iffhs world's best club coach' cosine=0.999
2026-03-25 05:55:58 | SimilarityScript | INFO |   [CREATED] IS_LINGUISTIC_VARIANT: 'iffhs world's best club coach' <-> 'the iffhs world's best club coach' (confidence=1.00)
2026-03-25 05:55:58 | SimilarityScript | INFO | [Gate1] 'iffhs world's best goalkeeper' → 2 candidate(s): ["world's best goalkeeper", "the iffhs world's best goalkeeper"]
2026-03-25 05:55:58 | SimilarityScript | INFO | [Gate3 FAIL] 'iffhs world's best goalkeeper' <-> 'world's best goalkeeper' cosine=0.851 (threshold 0.88)
