2026-02-25 05:27:49 | uvicorn.error | INFO | Started server process [48516]
2026-02-25 05:27:49 | uvicorn.error | INFO | Waiting for application startup.
2026-02-25 05:27:49 | API | INFO | Application startup: LiveOS Brain API online
2026-02-25 05:27:49 | uvicorn.error | INFO | Application startup complete.
2026-02-25 05:28:06 | uvicorn.access | INFO | 127.0.0.1:56632 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:28:54 | uvicorn.access | INFO | 127.0.0.1:56687 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:29:27 | uvicorn.access | INFO | 127.0.0.1:56791 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:29:53 | uvicorn.access | INFO | 127.0.0.1:56847 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:30:25 | uvicorn.access | INFO | 127.0.0.1:56910 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:30:43 | uvicorn.access | INFO | 127.0.0.1:56930 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:31:19 | uvicorn.access | INFO | 127.0.0.1:57021 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:31:39 | uvicorn.access | INFO | 127.0.0.1:57042 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:32:07 | uvicorn.access | INFO | 127.0.0.1:57099 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:32:29 | uvicorn.access | INFO | 127.0.0.1:57164 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:32:55 | uvicorn.access | INFO | 127.0.0.1:57209 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:33:16 | uvicorn.access | INFO | 127.0.0.1:57239 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:33:52 | uvicorn.access | INFO | 127.0.0.1:57283 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:34:23 | uvicorn.access | INFO | 127.0.0.1:57335 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:35:03 | uvicorn.access | INFO | 127.0.0.1:57403 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:35:35 | uvicorn.access | INFO | 127.0.0.1:57475 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:36:01 | uvicorn.access | INFO | 127.0.0.1:57540 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:36:33 | uvicorn.access | INFO | 127.0.0.1:57578 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:37:04 | uvicorn.access | INFO | 127.0.0.1:57634 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:37:31 | uvicorn.access | INFO | 127.0.0.1:57682 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:37:59 | uvicorn.access | INFO | 127.0.0.1:57770 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:38:25 | uvicorn.access | INFO | 127.0.0.1:57804 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:38:48 | uvicorn.access | INFO | 127.0.0.1:57853 - "POST /api/v1/ingest HTTP/1.1" 200
2026-02-25 05:39:13 | uvicorn.error | INFO | Shutting down
2026-02-25 05:39:13 | uvicorn.error | INFO | Waiting for background tasks to complete. (CTRL+C to force quit)
