2026-03-13 17:41:50 | LLMService | INFO | Primary LLM Provider: GEMINI
2026-03-13 17:41:50 | LLMService | INFO | Initializing Gemini (Model: gemini-3-flash-preview)
2026-03-13 17:41:56 | LLMService | INFO | [Embedding] Provider: ollama | URL: http://localhost:11434/v1 | Model: qwen3-embedding:0.6b
2026-03-13 17:41:56 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:42:00 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information regarding the nationalities and origins of the individuals mentioned.
2026-03-13 17:42:02 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'figure', 'character', 'soul']
2026-03-13 17:43:46 | LLMService | INFO | synthesize calling model: gemini-3-flash-preview
2026-03-13 17:43:48 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:43:51 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information regarding career history, filmography, and professional roles for the individual mentioned.
2026-03-13 17:43:53 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'figure', 'character', 'soul']
2026-03-13 17:43:54 | LLMService | DEBUG | [LLM] Type synonyms for 'film': ['film', 'movie', 'motion picture', 'cinema', 'feature', 'flick']
2026-03-13 17:43:58 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:44:01 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information regarding professional career history and public service roles.
2026-03-13 17:44:03 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'figure', 'character', 'soul']
2026-03-13 17:44:04 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'business', 'firm']
2026-03-13 17:45:20 | LLMService | INFO | synthesize calling model: gemini-3-flash-preview
2026-03-13 17:45:22 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:45:24 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve bibliographic details and series information about science fantasy literature and companion publications.
2026-03-13 17:45:26 | LLMService | DEBUG | [LLM] Type synonyms for 'book': ['book', 'publication', 'volume', 'tome', 'work', 'manuscript']
2026-03-13 17:46:48 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:46:51 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve literary techniques, narrative styles, and personal accounts written in the first-person perspective.
2026-03-13 17:46:53 | LLMService | DEBUG | [LLM] Type synonyms for 'book': ['book', 'publication', 'volume', 'tome', 'work', 'manuscript']
2026-03-13 17:46:54 | LLMService | DEBUG | [LLM] Type synonyms for 'film': ['film', 'movie', 'motion picture', 'cinema', 'feature', 'flick']
2026-03-13 17:46:55 | LLMService | DEBUG | [LLM] Type synonyms for 'literary device': ['literary device', 'rhetorical device', 'figure of speech', 'narrative technique', 'stylistic device', 'poetic device']
2026-03-13 17:48:08 | LLMService | INFO | synthesize calling model: gemini-3-flash-preview
2026-03-13 17:48:10 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:48:13 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve geographical locations and neighborhood information for the landmarks mentioned.
2026-03-13 17:48:15 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'venue', 'site', 'destination', 'region']
2026-03-13 17:49:59 | LLMService | INFO | synthesize calling model: gemini-3-flash-preview
2026-03-13 17:50:01 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:50:03 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details and professional locations for the director associated with the specified film.
2026-03-13 17:50:06 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'figure', 'character', 'soul']
2026-03-13 17:50:07 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'venue', 'site', 'destination', 'region']
2026-03-13 17:50:14 | LLMService | INFO | synthesize calling model: gemini-3-flash-preview
2026-03-13 17:50:16 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:50:19 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve discography details and organizational affiliations for the musical artist mentioned.
2026-03-13 17:50:21 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'business', 'firm']
2026-03-13 17:50:22 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'figure', 'character', 'soul']
2026-03-13 17:51:25 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:51:27 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve fashion collections, seasonal releases, and creative projects associated with the specified year and season.
2026-03-13 17:51:29 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'business', 'firm']
2026-03-13 17:51:30 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'figure', 'character', 'soul']
2026-03-13 17:51:51 | LLMService | INFO | synthesize calling model: gemini-3-flash-preview
2026-03-13 17:51:53 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:51:57 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information about professional roles, stage names, and career history.
2026-03-13 17:51:59 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'figure', 'character', 'soul']
2026-03-13 17:53:22 | LLMService | INFO | synthesize calling model: gemini-3-flash-preview
2026-03-13 17:53:24 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:53:27 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve sports venue specifications and arena capacity details for the organization mentioned.
2026-03-13 17:53:29 | LLMService | DEBUG | [LLM] Type synonyms for 'venue': ['venue', 'location', 'establishment', 'site', 'setting', 'arena']
2026-03-13 17:53:30 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'venue', 'site', 'destination', 'region']
2026-03-13 17:54:30 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:54:32 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve sports-related entity details regarding home venues, stadium locations, and team affiliations.
2026-03-13 17:54:35 | LLMService | DEBUG | [LLM] Type synonyms for 'venue': ['venue', 'location', 'establishment', 'site', 'setting', 'arena']
2026-03-13 17:54:36 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'venue', 'site', 'destination', 'region']
2026-03-13 17:55:19 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:55:21 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve sports team history and venue locations for the organization mentioned.
2026-03-13 17:55:23 | LLMService | DEBUG | [LLM] Type synonyms for 'venue': ['venue', 'location', 'establishment', 'site', 'setting', 'arena']
2026-03-13 17:55:24 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'venue', 'site', 'destination', 'region']
2026-03-13 17:56:25 | LLMService | INFO | synthesize calling model: gemini-3-flash-preview
2026-03-13 17:56:27 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:56:30 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical data and vital statistics regarding the ages or birth dates of the individuals mentioned.
2026-03-13 17:56:32 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'figure', 'character', 'soul']
2026-03-13 17:56:47 | LLMService | INFO | synthesize calling model: gemini-3-flash-preview
2026-03-13 17:56:49 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:56:52 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information regarding the origins and locations of the musical artists mentioned.
2026-03-13 17:56:55 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'business', 'firm']
2026-03-13 17:56:56 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'venue', 'site', 'destination', 'region']
2026-03-13 17:57:02 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:57:05 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details, discography, and career history for the musical artist or entity mentioned.
2026-03-13 17:57:07 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'business', 'firm']
2026-03-13 17:57:09 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'figure', 'character', 'soul']
2026-03-13 17:57:14 | LLMService | INFO | synthesize calling model: gemini-3-flash-preview
2026-03-13 17:57:16 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:57:19 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve institutional facts and cultural details about the university and its locations.
2026-03-13 17:57:22 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'business', 'firm']
2026-03-13 17:57:31 | LLMService | INFO | synthesize calling model: gemini-3-flash-preview
2026-03-13 17:57:34 | LLMService | INFO | [Gemini] Extracting with gemini-3-flash-preview (native SDK)
2026-03-13 17:57:37 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve filmography and collaborative credits for screenwriters and actors mentioned.
2026-03-13 17:57:39 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'figure', 'character', 'soul']
