2026-02-27 10:03:43 | LLMService | INFO | Primary LLM Provider: LM_STUDIO
2026-02-27 10:03:43 | LLMService | INFO | Initializing LM Studio (URL: http://127.0.0.1:1234, Model: google/gemma-3-4b)
2026-02-27 10:03:45 | LLMService | INFO | [Embedding] Provider: ollama | Model: qwen3-embedding:0.6b
2026-02-27 10:04:25 | LLMService | INFO | [LLM] Identified 2 information needs for query: Were Scott Derrickson and Ed Wood of the same nationality?
2026-02-27 10:04:25 | LLMService | INFO |   1. What is Scott Derrickson's nationality?
2026-02-27 10:04:25 | LLMService | INFO |   2. What is Ed Wood’s nationality?
2026-02-27 10:04:26 | LLMService | INFO | [LLM] back-ref rewrite: 'What is Ed Wood’s nationality?' → 'What is [placeholder]'s nationality?'
2026-02-27 10:04:26 | LLMService | INFO | [LM Studio] Extracting with google/gemma-3-4b (JSON mode)
2026-02-27 10:04:26 | LLMService | WARNING | [LM Studio] response_format=json_object failed: Error code: 400 - {'error': "'response_format.type' must be 'json_schema' or 'text'"}
2026-02-27 10:04:35 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details about a person’s origins and citizenship.
2026-02-27 10:04:42 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'resident', 'subject']
2026-02-27 10:04:46 | LLMService | INFO | [LM Studio] Extracting with google/gemma-3-4b (JSON mode)
2026-02-27 10:04:46 | LLMService | WARNING | [LM Studio] response_format=json_object failed: Error code: 400 - {'error': "'response_format.type' must be 'json_schema' or 'text'"}
2026-02-27 10:04:54 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details about nationality, citizenship, and cultural affiliations.
2026-02-27 10:04:57 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'resident', 'subject']
2026-02-27 10:05:16 | LLMService | INFO | synthesize calling model: google/gemma-3-4b
2026-02-27 10:05:26 | LLMService | INFO | [LLM] Identified 1 information needs for query: What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?
2026-02-27 10:05:26 | LLMService | INFO |   1. Who portrayed Corliss Archer in the film *Kiss and Tell*?
2026-02-27 10:05:26 | LLMService | INFO | [LM Studio] Extracting with google/gemma-3-4b (JSON mode)
2026-02-27 10:05:26 | LLMService | WARNING | [LM Studio] response_format=json_object failed: Error code: 400 - {'error': "'response_format.type' must be 'json_schema' or 'text'"}
2026-02-27 10:05:34 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information about actors and their film roles.
2026-02-27 10:05:36 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'resident', 'subject']
2026-02-27 10:05:36 | LLMService | DEBUG | [LLM] Type synonyms for 'film': ['film', 'film → movie', 'cinema', 'motion picture', 'video', 'flick']
2026-02-27 10:05:44 | LLMService | INFO | synthesize calling model: google/gemma-3-4b
2026-02-27 10:05:54 | LLMService | INFO | [LLM] Identified 3 information needs for query: What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?
2026-02-27 10:05:54 | LLMService | INFO |   1. What science fantasy young adult series is told in first person?
2026-02-27 10:05:54 | LLMService | INFO |   2. Within that series, what are the companion books called?
2026-02-27 10:05:54 | LLMService | INFO |   3. What themes do the companion books explore (specifically regarding enslaved worlds and alien species)?
2026-02-27 10:05:55 | LLMService | INFO | [LLM] back-ref rewrite: 'Within that series, what are the companion books called?' → 'Within [placeholder], what are the companion books called?'
2026-02-27 10:05:56 | LLMService | INFO | [LLM] back-ref rewrite: 'What themes do the companion books explore (specifically regarding enslaved worlds and alien species)?' → 'What themes do [the companion books] explore (specifically regarding enslaved worlds and alien species)?'
2026-02-27 10:05:56 | LLMService | INFO | [LM Studio] Extracting with google/gemma-3-4b (JSON mode)
2026-02-27 10:05:56 | LLMService | WARNING | [LM Studio] response_format=json_object failed: Error code: 400 - {'error': "'response_format.type' must be 'json_schema' or 'text'"}
2026-02-27 10:06:05 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details about series focusing on narrative perspective and genre.
2026-02-27 10:06:07 | LLMService | DEBUG | [LLM] Type synonyms for 'book': ['book', 'volume', 'publication', 'text', 'reading material', 'manuscript']
2026-02-27 10:06:08 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'resident', 'subject']
2026-02-27 10:06:17 | LLMService | INFO | [LM Studio] Extracting with google/gemma-3-4b (JSON mode)
2026-02-27 10:06:17 | LLMService | WARNING | [LM Studio] response_format=json_object failed: Error code: 400 - {'error': "'response_format.type' must be 'json_schema' or 'text'"}
2026-02-27 10:06:25 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details about book series titles and their associated roles within a narrative.
2026-02-27 10:06:27 | LLMService | DEBUG | [LLM] Type synonyms for 'book': ['book', 'volume', 'publication', 'text', 'reading material', 'manuscript']
2026-02-27 10:06:28 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'enterprise']
2026-02-27 10:06:36 | LLMService | INFO | [LM Studio] Extracting with google/gemma-3-4b (JSON mode)
2026-02-27 10:06:36 | LLMService | WARNING | [LM Studio] response_format=json_object failed: Error code: 400 - {'error': "'response_format.type' must be 'json_schema' or 'text'"}
2026-02-27 10:06:46 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve thematic analysis of personal notes regarding enslaved societies and alien cultures.
2026-02-27 10:06:47 | LLMService | DEBUG | [LLM] Type synonyms for 'film': ['film', 'film → movie', 'cinema', 'motion picture', 'video', 'flick']
2026-02-27 10:06:48 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'business', 'enterprise']
2026-02-27 10:06:53 | LLMService | INFO | synthesize calling model: google/gemma-3-4b
2026-02-27 10:07:04 | LLMService | INFO | [LLM] Identified 2 information needs for query: Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?
2026-02-27 10:07:04 | LLMService | INFO |   1. Where is the Laleli Mosque located?
2026-02-27 10:07:04 | LLMService | INFO |   2. Where is Esma Sultan Mansion located?
2026-02-27 10:07:04 | LLMService | INFO | [LLM] back-ref rewrite: 'Where is Esma Sultan Mansion located?' → 'Where is [placeholder] located?'
2026-02-27 10:07:05 | LLMService | INFO | [LM Studio] Extracting with google/gemma-3-4b (JSON mode)
2026-02-27 10:07:05 | LLMService | WARNING | [LM Studio] response_format=json_object failed: Error code: 400 - {'error': "'response_format.type' must be 'json_schema' or 'text'"}
2026-02-27 10:07:13 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information about locations and their associated details.
2026-02-27 10:07:14 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'region', 'landmark', 'territory']
2026-02-27 10:07:23 | LLMService | INFO | [LM Studio] Extracting with google/gemma-3-4b (JSON mode)
2026-02-27 10:07:23 | LLMService | WARNING | [LM Studio] response_format=json_object failed: Error code: 400 - {'error': "'response_format.type' must be 'json_schema' or 'text'"}
2026-02-27 10:07:32 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve geographical information – specifically, locations and their associated descriptions – from the knowledge base.
2026-02-27 10:07:33 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'region', 'landmark', 'territory']
2026-02-27 10:07:40 | LLMService | INFO | synthesize calling model: google/gemma-3-4b
2026-02-27 10:07:49 | LLMService | INFO | [LLM] Identified 2 information needs for query: The director of the romantic comedy "Big Stone Gap" is based in what New York city?
2026-02-27 10:07:49 | LLMService | INFO |   1. Who directed "Big Stone Gap"?
2026-02-27 10:07:49 | LLMService | INFO |   2. What city in New York is [director] based in?
2026-02-27 10:07:50 | LLMService | INFO | [LM Studio] Extracting with google/gemma-3-4b (JSON mode)
2026-02-27 10:07:50 | LLMService | WARNING | [LM Studio] response_format=json_object failed: Error code: 400 - {'error': "'response_format.type' must be 'json_schema' or 'text'"}
2026-02-27 10:07:58 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information about film credits, focusing on directors and their films.
2026-02-27 10:08:00 | LLMService | DEBUG | [LLM] Type synonyms for 'film': ['film', 'film → movie', 'cinema', 'motion picture', 'video', 'flick']
2026-02-27 10:08:00 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'resident', 'subject']
2026-02-27 10:08:10 | LLMService | INFO | [LM Studio] Extracting with google/gemma-3-4b (JSON mode)
2026-02-27 10:08:10 | LLMService | WARNING | [LM Studio] response_format=json_object failed: Error code: 400 - {'error': "'response_format.type' must be 'json_schema' or 'text'"}
2026-02-27 10:08:18 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information about locations associated with the person mentioned.
2026-02-27 10:08:20 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'region', 'territory', 'site']
2026-02-27 10:08:24 | LLMService | INFO | synthesize calling model: google/gemma-3-4b
