2026-03-11 13:34:01 | LLMService | INFO | Primary LLM Provider: OLLAMA
2026-03-11 13:34:01 | LLMService | INFO | Initializing Ollama (URL: http://localhost:11434/v1)
2026-03-11 13:34:34 | LLMService | INFO | [Embedding] Provider: ollama | URL: http://localhost:11434/v1 | Model: qwen3-embedding:0.6b
2026-03-11 13:34:34 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:34:44 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 2 concepts
2026-03-11 13:34:45 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information regarding the nationality and origins of individuals.
2026-03-11 13:34:52 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:34:56 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:35:05 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:35:13 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 3 concepts
2026-03-11 13:35:14 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve filmography and actor details related to individuals who starred in specified films.
2026-03-11 13:35:16 | LLMService | DEBUG | [LLM] Type synonyms for 'film': ['film', 'film → movie', 'cinema', 'motion picture', 'video', 'filmstrip']
2026-03-11 13:35:17 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:35:23 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:35:32 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:35:43 | LLMService | INFO | [Ollama] Raw extraction: 5 entities, 6 concepts
2026-03-11 13:35:45 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve narrative details about young adult series, focusing on themes and story structures.
2026-03-11 13:35:46 | LLMService | DEBUG | [LLM] Type synonyms for 'book': ['book', 'volume', 'publication', 'text', 'manuscript', 'story']
2026-03-11 13:35:47 | LLMService | DEBUG | [LLM] Type synonyms for 'series': ['series', 'season', 'run', 'installment', 'volume', 'collection']
2026-03-11 13:35:48 | LLMService | DEBUG | [LLM] Type synonyms for 'genre': ['genre', 'category', 'type', 'style', 'form', 'movement']
2026-03-11 13:35:51 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:35:57 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 3 concepts
2026-03-11 13:35:58 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details, including roles, appearances, and associated events for the subject.
2026-03-11 13:35:59 | LLMService | DEBUG | [LLM] Type synonyms for 'book': ['book', 'volume', 'publication', 'text', 'manuscript', 'story']
2026-03-11 13:36:03 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:36:10 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 2 concepts
2026-03-11 13:36:11 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details and associated events related to the series.
2026-03-11 13:36:13 | LLMService | DEBUG | [LLM] Type synonyms for 'book': ['book', 'volume', 'publication', 'text', 'manuscript', 'story']
2026-03-11 13:36:14 | LLMService | DEBUG | [LLM] Type synonyms for 'series': ['series', 'season', 'run', 'installment', 'volume', 'collection']
2026-03-11 13:36:18 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:36:25 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 2 concepts
2026-03-11 13:36:26 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical details, including events and locations, related to the series.
2026-03-11 13:36:28 | LLMService | DEBUG | [LLM] Type synonyms for 'book': ['book', 'volume', 'text', 'publication', 'manuscript', 'tome']
2026-03-11 13:36:28 | LLMService | DEBUG | [LLM] Type synonyms for 'series': ['series', 'season', 'run', 'installment', 'volume', 'collection']
2026-03-11 13:36:30 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:36:44 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:36:50 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 3 concepts
2026-03-11 13:36:51 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve location information and neighborhood relationships for places and landmarks.
2026-03-11 13:36:52 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'territory', 'site', 'landmark']
2026-03-11 13:36:55 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:37:03 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 3 concepts
2026-03-11 13:37:04 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve geographical locations and their precise relationships for place names.
2026-03-11 13:37:05 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'territory', 'site', 'landmark']
2026-03-11 13:37:08 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:37:16 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 4 concepts
2026-03-11 13:37:17 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve location and spatial relationships for places and buildings within the knowledge base.
2026-03-11 13:37:18 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'territory', 'site', 'landmark']
2026-03-11 13:37:21 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:37:27 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 2 concepts
2026-03-11 13:37:28 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve location and historical information about significant buildings and estates.
2026-03-11 13:37:30 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'territory', 'site', 'landmark']
2026-03-11 13:37:31 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:37:38 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:37:46 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 3 concepts
2026-03-11 13:37:47 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve filmography and location information related to movie directors and their projects.
2026-03-11 13:37:49 | LLMService | DEBUG | [LLM] Type synonyms for 'film': ['film', 'film → movie', 'cinema', 'motion picture', 'video', 'filmstrip']
2026-03-11 13:37:49 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:37:50 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'territory', 'site', 'landmark']
2026-03-11 13:37:54 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:38:05 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:38:13 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 3 concepts
2026-03-11 13:38:14 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information regarding the founding and formation of musical groups.
2026-03-11 13:38:15 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'business']
2026-03-11 13:38:16 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:38:20 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:38:28 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:38:34 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 3 concepts
2026-03-11 13:38:36 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information about individuals, focusing on their professional roles and consulting experience.
2026-03-11 13:38:37 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:38:38 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'firm', 'business']
2026-03-11 13:38:41 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:38:47 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:38:54 | LLMService | INFO | [Ollama] Raw extraction: 1 entities, 3 concepts
2026-03-11 13:38:55 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve event details, specifically seating capacity and location information.
2026-03-11 13:38:56 | LLMService | DEBUG | [LLM] Type synonyms for 'venue': ['venue', 'event space', 'location', 'site', 'hall', 'establishment']
2026-03-11 13:38:57 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'territory', 'site', 'landmark']
2026-03-11 13:39:02 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:39:09 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:39:15 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 2 concepts
2026-03-11 13:39:16 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information, focusing on age and birthdates for the individuals.
2026-03-11 13:39:18 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:39:21 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:39:30 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:39:37 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 2 concepts
2026-03-11 13:39:38 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve biographical information regarding the origin and location of artists and bands.
2026-03-11 13:39:39 | LLMService | DEBUG | [LLM] Type synonyms for 'organization': ['organization', 'company', 'corporation', 'institution', 'business', 'firm']
2026-03-11 13:39:40 | LLMService | DEBUG | [LLM] Type synonyms for 'place': ['place', 'location', 'area', 'territory', 'site', 'landmark']
2026-03-11 13:39:44 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:39:52 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:40:00 | LLMService | INFO | [Ollama] Raw extraction: 2 entities, 3 concepts
2026-03-11 13:40:01 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve location and institutional details for universities based on campus locations.
2026-03-11 13:40:05 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:40:14 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
2026-03-11 13:40:22 | LLMService | INFO | [Ollama] Raw extraction: 3 entities, 3 concepts
2026-03-11 13:40:23 | LLMService | INFO | [LLM] Generated embedding instruction: Retrieve filmography and credits for individuals associated with specified movies and actors.
2026-03-11 13:40:25 | LLMService | DEBUG | [LLM] Type synonyms for 'person': ['person', 'individual', 'human', 'being', 'man', 'woman']
2026-03-11 13:40:26 | LLMService | DEBUG | [LLM] Type synonyms for 'film': ['film', 'film → movie', 'cinema', 'motion picture', 'video', 'filmstrip']
2026-03-11 13:40:32 | LLMService | INFO | synthesize calling model: gemma3:4b
2026-03-11 13:40:42 | LLMService | INFO | [Ollama] Extracting with gemma3:4b (schema enforced)
