2026-02-26 21:07:58 | IngestionPipeline | INFO | Extraction Completed: summary='' domain='Professional' entities=[Entity(name='Bill Cosby', type='Person', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records. It features appearances from former Stevie Wonder band members like future R&B star Ray Parker, Jr. on guitar, and also features a second collaboration with his songwriting partner Stu Gardner, who plays organ on this set.'), Entity(name='Stax Records', type='Organization', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records.'), Entity(name='Partee Records', type='Organization', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records.'), Entity(name='Ray Parker, Jr.', type='Person', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records. It features appearances from former Stevie Wonder band members like future R&B star Ray Parker, Jr. on guitar, and also features a second collaboration with his songwriting partner Stu Gardner, who plays organ on this set.'), Entity(name='Stu Gardner', type='Person', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records. It features appearances from former Stevie Wonder band members like future R&B star Ray Parker, Jr. on guitar, and also features a second collaboration with his songwriting partner Stu Gardner, who plays organ on this set.')] concepts=[Concept(name='Album', definition='', isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby.'), Concept(name='Music', definition='', isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records.')] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 21:07:58 | IngestionPipeline | INFO | Filtered/Renamed Entities: ['Bill Cosby', 'Stax Records', 'Partee Records', 'Ray Parker, Jr.', 'Stu Gardner']
2026-02-26 21:07:58 | IngestionPipeline | INFO | Filtered/Renamed Concepts: ['Album', 'Music']
2026-02-26 21:07:58 | IngestionPipeline | INFO | Standardized Extraction: summary='' domain='Professional' entities=[Entity(name='Bill Cosby', type='Person', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records. It features appearances from former Stevie Wonder band members like future R&B star Ray Parker, Jr. on guitar, and also features a second collaboration with his songwriting partner Stu Gardner, who plays organ on this set.'), Entity(name='Stax Records', type='Organization', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records.'), Entity(name='Partee Records', type='Organization', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records.'), Entity(name='Ray Parker, Jr.', type='Person', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records. It features appearances from former Stevie Wonder band members like future R&B star Ray Parker, Jr. on guitar, and also features a second collaboration with his songwriting partner Stu Gardner, who plays organ on this set.'), Entity(name='Stu Gardner', type='Person', importance=0.5, isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records. It features appearances from former Stevie Wonder band members like future R&B star Ray Parker, Jr. on guitar, and also features a second collaboration with his songwriting partner Stu Gardner, who plays organ on this set.')] concepts=[Concept(name='Album', definition='', isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby.'), Concept(name='Music', definition='', isolated_context='At Last Bill Cosby Really Sings is an album by Bill Cosby. It is his fifth music-based album and the only one released on the Stax Records-distributed Partee Records.')] tasks=[] persona_traits=[] references=[] relationships=[] sentiment='Neutral'
2026-02-26 21:07:58 | IngestionPipeline | INFO | Extracted: 5 entities, 2 concepts, 0 references.
2026-02-26 21:07:58 | IngestionPipeline | INFO | Domain: Professional
2026-02-26 21:07:58 | IngestionPipeline | INFO | Note complexity upgraded: 7 entities+concepts extracted
2026-02-26 21:07:58 | IngestionPipeline | INFO | Extraction took: 32.7864s
2026-02-26 21:07:58 | IngestionPipeline | INFO | [Agent] Refinement (Reasoning) triggered...
2026-02-26 21:08:01 | IngestionPipeline | INFO |   [Refiner] 🛠️ Patched Extraction: Added 2 new entities.
2026-02-26 21:08:01 | IngestionPipeline | INFO | [Ingestion] Using provided title: 'At Last Bill Cosby Really Sings'
2026-02-26 21:08:05 | IngestionPipeline | INFO | [Community] Assigned 9 nodes to 'Creative Knowledge'
2026-02-26 21:08:13 | IngestionPipeline | INFO | [Community] Updated summary and embedding for 'Creative Knowledge'
2026-02-26 21:08:13 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Title for Note 4a41873a-7134-4b08-aff5-4cbd7186d157: 'At Last Bill Cosby Really Sings'
2026-02-26 21:08:13 | IngestionPipeline | INFO | [Ingestion] Updated Postgres Domain for Note 4a41873a-7134-4b08-aff5-4cbd7186d157: 'Professional'
